participant,condition,word,exposure,synchrony
LexVar103,naturalv,bog,1,10055.319915419108
LexVar103,naturalv,bog,1,9230.818941616033
LexVar104,naturalv,bog,1,9158.261700863994
LexVar104,naturalv,bog,1,10219.25628588004
LexVar110,naturalv,bog,1,10255.67671676048
LexVar110,naturalv,bog,1,8795.418507317283
LexVar116,naturalv,bog,1,10646.778666888446
LexVar116,naturalv,bog,1,9203.805614515019
LexVar121,naturalv,bog,1,9764.295650337319
LexVar121,naturalv,bog,1,10389.024305736875
LexVar127,naturalv,bog,1,5779.1654462779925
LexVar127,naturalv,bog,1,7850.945089899825
LexVar133,naturalv,bog,1,9326.71405531071
LexVar133,naturalv,bog,1,9655.080412995198
LexVar139,naturalv,bog,1,10105.806787130428
LexVar139,naturalv,bog,1,8772.712125069107
LexVar140,naturalv,bog,1,10389.007488059686
LexVar140,naturalv,bog,1,8484.571035193725
LexVar146,naturalv,bog,1,9094.655013519887
LexVar146,naturalv,bog,1,10039.626380649603
LexVar151,naturalv,bog,1,10715.848911056135
LexVar151,naturalv,bog,1,7316.331545470753
LexVar157,naturalv,bog,1,10142.91147495778
LexVar157,naturalv,bog,1,10465.289270380015
LexVar163,naturalv,bog,1,10644.66208513858
LexVar163,naturalv,bog,1,10397.975005622784
LexVar169,naturalv,bog,1,9910.397703954497
LexVar169,naturalv,bog,1,10358.51392305169
LexVar170,naturalv,bog,1,8123.779596711996
LexVar170,naturalv,bog,1,10644.954566947721
LexVar175,naturalv,bog,1,8369.519402551367
LexVar175,naturalv,bog,1,10680.799302794623
LexVar176,naturalv,bog,1,10291.370921847778
LexVar176,naturalv,bog,1,10755.975031303178
LexVar181,naturalv,bog,1,9802.398584729573
LexVar181,naturalv,bog,1,10399.134935118605
LexVar182,naturalv,bog,1,10364.940745803922
LexVar188,naturalv,bog,1,10346.158980293176
LexVar188,naturalv,bog,1,10315.410965233154
LexVar103,naturalv,bog,2,10146.965859598842
LexVar103,naturalv,bog,2,9732.140900259707
LexVar104,naturalv,bog,2,9287.341559318038
LexVar104,naturalv,bog,2,9710.447021971622
LexVar110,naturalv,bog,2,8779.862416257145
LexVar110,naturalv,bog,2,8803.699985025469
LexVar116,naturalv,bog,2,10092.84301016417
LexVar121,naturalv,bog,2,10262.693444572935
LexVar121,naturalv,bog,2,7557.177103782514
LexVar127,naturalv,bog,2,6267.921250408265
LexVar133,naturalv,bog,2,10084.927711481594
LexVar133,naturalv,bog,2,8776.070745990017
LexVar139,naturalv,bog,2,9939.635215597473
LexVar139,naturalv,bog,2,10165.585274313922
LexVar140,naturalv,bog,2,9430.47785837159
LexVar140,naturalv,bog,2,9048.295811756938
LexVar146,naturalv,bog,2,10588.83002335034
LexVar146,naturalv,bog,2,9555.159341171773
LexVar151,naturalv,bog,2,9534.12288968443
LexVar151,naturalv,bog,2,8418.087341843475
LexVar157,naturalv,bog,2,9834.09008377662
LexVar157,naturalv,bog,2,9228.062349101387
LexVar163,naturalv,bog,2,10030.227299172151
LexVar163,naturalv,bog,2,9520.801997930033
LexVar169,naturalv,bog,2,10044.736325334237
LexVar169,naturalv,bog,2,10023.449463484729
LexVar170,naturalv,bog,2,9978.554075084196
LexVar170,naturalv,bog,2,9740.981489734306
LexVar175,naturalv,bog,2,7805.645667563825
LexVar175,naturalv,bog,2,8365.46850926997
LexVar176,naturalv,bog,2,9988.245946032295
LexVar176,naturalv,bog,2,9484.97178225604
LexVar181,naturalv,bog,2,9625.029634731352
LexVar181,naturalv,bog,2,10547.617216650835
LexVar182,naturalv,bog,2,6860.601159886792
LexVar188,naturalv,bog,2,8159.7437473006785
LexVar188,naturalv,bog,2,8318.23264144481
LexVar103,naturalv,bog,3,25566.990962915697
LexVar103,naturalv,bog,3,25279.432330063555
LexVar104,naturalv,bog,3,24905.520467658258
LexVar104,naturalv,bog,3,25483.47999451405
LexVar110,naturalv,bog,3,24177.637239525728
LexVar110,naturalv,bog,3,22394.970058579493
LexVar116,naturalv,bog,3,25489.213169845396
LexVar121,naturalv,bog,3,25205.001369519287
LexVar121,naturalv,bog,3,22856.06712327196
LexVar127,naturalv,bog,3,13237.939894775605
LexVar133,naturalv,bog,3,24336.554569130836
LexVar133,naturalv,bog,3,16036.69235253988
LexVar139,naturalv,bog,3,25032.994174220268
LexVar139,naturalv,bog,3,25696.143095510313
LexVar140,naturalv,bog,3,25446.330393576514
LexVar140,naturalv,bog,3,23982.473300463793
LexVar146,naturalv,bog,3,22888.381696062348
LexVar146,naturalv,bog,3,23048.752075788754
LexVar151,naturalv,bog,3,25161.388675811282
LexVar157,naturalv,bog,3,25567.179314311998
LexVar157,naturalv,bog,3,25696.26970704331
LexVar163,naturalv,bog,3,24459.523067816757
LexVar163,naturalv,bog,3,24584.159510298727
LexVar169,naturalv,bog,3,25855.837739838633
LexVar169,naturalv,bog,3,25541.560214025918
LexVar170,naturalv,bog,3,25179.80121066489
LexVar170,naturalv,bog,3,21916.65553960237
LexVar175,naturalv,bog,3,17831.993130592906
LexVar176,naturalv,bog,3,25573.994581673516
LexVar176,naturalv,bog,3,25565.977376548162
LexVar181,naturalv,bog,3,25180.421409035036
LexVar181,naturalv,bog,3,25729.240630605454
LexVar182,naturalv,bog,3,22133.544281405684
LexVar103,naturalv,bog,4,10682.167142499226
LexVar104,naturalv,bog,4,11315.79839726004
LexVar110,naturalv,bog,4,5622.882325785803
LexVar133,naturalv,bog,4,9854.665070537416
LexVar133,naturalv,bog,4,11554.767065490103
LexVar139,naturalv,bog,4,11403.120117915032
LexVar139,naturalv,bog,4,11399.93589621055
LexVar140,naturalv,bog,4,10528.329038324187
LexVar140,naturalv,bog,4,11423.858585723132
LexVar157,naturalv,bog,4,9395.225508280986
LexVar157,naturalv,bog,4,9512.185113763939
LexVar163,naturalv,bog,4,10275.853716127001
LexVar169,naturalv,bog,4,7612.13125284801
LexVar169,naturalv,bog,4,11509.92684136159
LexVar170,naturalv,bog,4,11387.469616548797
LexVar176,naturalv,bog,4,11286.517223241195
LexVar176,naturalv,bog,4,11359.616134361548
LexVar181,naturalv,bog,4,11515.090875362946
